RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
"
        1",2,"
    Louis Oosthuizen
        ",14,1.360,8.160,6
"
        2",1,"
    Denny McCarthy
        ",48,1.347,48.477,36
"
        3",3,"
    Patrick Reed
        ",30,1.093,22.960,21
"
        4",5,"
    Jon Rahm
        ",20,.996,18.917,19
"
        5",7,"
    Kristoffer Ventura
        ",34,.959,17.266,18
"
        6",4,"
    Andrew Putnam
        ",30,.953,15.246,16
"
        7",6,"
    Kevin Na
        ",42,.886,26.577,30
"
        8",9,"
    Peter Malnati
        ",39,.779,22.591,29
"
        9",11,"
    Cameron Smith
        ",34,.775,19.385,25
"
        10",22,"
    Beau Hossler
        ",51,.752,24.806,33
"
        11",13,"
    John Huh
        ",26,.750,17.242,23
"
        12",14,"
    Patrick Rodgers
        ",61,.732,32.935,45
"
        13",15,"
    Webb Simpson
        ",20,.720,13.680,19
"
        14",16,"
    Matt Kuchar
        ",28,.705,14.795,21
"
        15",10,"
    J.T. Poston
        ",46,.682,21.150,31
"
        16",19,"
    Bubba Watson
        ",30,.679,14.256,21
"
        17",17,"
    Rhein Gibson
        ",42,.653,16.986,26
"
        18",18,"
    J.B. Holmes
        ",24,.638,12.118,19
"
        19",12,"
    Wyndham Clark
        ",41,.590,15.347,26
"
        20",23,"
    Brandt Snedeker
        ",29,.564,14.661,26
"
        21",24,"
    Chad Campbell
        ",15,.553,4.425,8
"
        T22",41,"
    Sam Burns
        ",34,.535,16.595,31
"
        T22",21,"
    Bryson DeChambeau
        ",26,.535,13.918,26
"
        24",20,"
    Maverick McNealy
        ",50,.528,16.895,32
"
        25",30,"
    Richy Werenski
        ",26,.510,9.684,19
"
        26",31,"
    Daniel Berger
        ",34,.509,13.236,26
"
        27",32,"
    Adam Hadwin
        ",31,.505,10.108,20
"
        28",28,"
    Lanto Griffin
        ",58,.487,22.384,46
"
        29",27,"
    Tom Hoge
        ",42,.479,16.297,34
"
        T30",40,"
    Ian Poulter
        ",18,.477,3.813,8
"
        T30",35,"
    Brandon Wu
        ",16,.477,4.297,9
"
        32","
        ","
    Tyrrell Hatton
        ",16,.472,3.777,8
"
        33","
        T36","
    Patton Kizzire
        ",35,.471,12.722,27
"
        34",38,"
    Bronson Burgoon
        ",33,.468,11.689,25
"
        35",26,"
    Vaughn Taylor
        ",47,.463,13.903,30
"
        36","
        T36","
    Sungjae Im
        ",54,.451,17.578,39
"
        37",44,"
    Max Homa
        ",42,.447,12.964,29
"
        38",76,"
    Keith Mitchell
        ",38,.444,10.644,24
"
        39",55,"
    Harris English
        ",42,.443,15.056,34
"
        40",42,"
    Ricky Barnes
        ",28,.442,7.510,17
"
        41",50,"
    Troy Merritt
        ",36,.436,10.038,23
"
        T42","
        T45","
    K.J. Choi
        ",17,.427,3.844,9
"
        T42","
        T45","
    Dominic Bozzelli
        ",32,.427,8.549,20
"
        44",34,"
    Stewart Cink
        ",31,.420,10.511,25
"
        45",47,"
    Matthew NeSmith
        ",46,.416,13.298,32
"
        46",25,"
    Billy Horschel
        ",41,.405,8.497,21
"
        47",63,"
    Talor Gooch
        ",50,.402,16.867,42
"
        48",48,"
    Mark Hubbard
        ",49,.401,14.453,36
"
        T49",43,"
    Rickie Fowler
        ",20,.393,6.676,17
"
        T49",29,"
    Zac Blair
        ",48,.393,12.584,32
"
        51",52,"
    Sebastián Muñoz
        ",50,.390,17.144,44
"
        52",57,"
    Brendon Todd
        ",48,.387,14.319,37
"
        53",53,"
    Luke Donald
        ",18,.383,4.211,11
"
        54",56,"
    Brice Garnett
        ",40,.357,9.633,27
"
        55",58,"
    Nate Lashley
        ",34,.318,8.596,27
"
        56","
        ","
    Steve Stricker
        ",16,.315,3.470,11
"
        57",59,"
    Brian Harman
        ",44,.313,11.581,37
"
        58",61,"
    Chase Seiffert
        ",44,.310,8.067,26
"
        59",64,"
    David Hearn
        ",39,.292,7.007,24
"
        60",65,"
    Johnson Wagner
        ",19,.288,2.880,10
"
        61",86,"
    Zach Johnson
        ",33,.287,7.449,26
"
        62",66,"
    Seamus Power
        ",22,.264,2.904,11
"
        63",78,"
    Brian Gay
        ",45,.261,8.338,32
"
        T64","
        T67","
    Sebastian Cappelen
        ",43,.257,6.413,25
"
        T64","
        T67","
    Nelson Ledesma
        ",34,.257,4.628,18
"
        66",80,"
    Harry Higgs
        ",53,.247,9.646,39
"
        67",70,"
    Hudson Swafford
        ",21,.242,3.388,14
"
        T68",71,"
    Jamie Lovemark
        ",20,.236,4.491,19
"
        T68",62,"
    Nick Taylor
        ",41,.236,7.547,32
"
        70",73,"
    Adam Schenk
        ",46,.234,6.315,27
"
        71",49,"
    Adam Scott
        ",26,.231,4.155,18
"
        72",39,"
    Viktor Hovland
        ",30,.221,3.099,14
"
        73",75,"
    James Hahn
        ",30,.219,4.608,21
"
        74",74,"
    Bud Cauley
        ",38,.206,7.194,35
"
        75",88,"
    Brian Stuard
        ",53,.204,7.329,36
