RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
"
        1","
        ","
    Tyrrell Hatton
        ",16,3.078,24.623,20.846,3.777,8
"
        2",1,"
    Rory McIlroy
        ",24,2.537,38.061,35.993,2.068,15
"
        3",2,"
    Jon Rahm
        ",20,2.222,42.225,23.309,18.917,19
"
        4",8,"
    Bryson DeChambeau
        ",26,1.960,50.952,37.036,13.918,26
"
        5",3,"
    Justin Thomas
        ",28,1.958,39.154,35.104,4.052,20
"
        6",6,"
    Webb Simpson
        ",20,1.881,35.738,22.061,13.680,19
"
        7",4,"
    Patrick Reed
        ",30,1.868,39.225,16.266,22.960,21
"
        8",9,"
    Patrick Cantlay
        ",20,1.772,31.902,30.176,1.729,18
"
        9",10,"
    Xander Schauffele
        ",30,1.574,33.060,32.785,.276,21
"
        10",7,"
    Tony Finau
        ",32,1.538,29.229,31.612,-2.381,19
"
        11",14,"
    Harris English
        ",42,1.507,51.240,36.186,15.056,34
"
        12",18,"
    Sungjae Im
        ",54,1.463,57.071,39.495,17.578,39
"
        13",13,"
    Adam Hadwin
        ",31,1.430,28.596,18.492,10.108,20
"
        14",16,"
    Daniel Berger
        ",34,1.344,34.956,21.724,13.236,26
"
        15",29,"
    Marc Leishman
        ",33,1.339,32.144,28.565,3.581,24
"
        16",11,"
    Hideki Matsuyama
        ",42,1.285,37.278,52.806,-15.526,29
"
        17",24,"
    Collin Morikawa
        ",44,1.259,44.066,56.236,-12.166,35
"
        18",23,"
    Tom Hoge
        ",42,1.232,41.886,25.590,16.297,34
"
        19",22,"
    Gary Woodland
        ",30,1.183,24.841,21.284,3.559,21
"
        20",15,"
    Adam Scott
        ",26,1.125,20.255,16.102,4.155,18
"
        21",17,"
    Ian Poulter
        ",18,1.110,8.880,5.067,3.813,8
"
        22",12,"
    Bubba Watson
        ",30,1.097,23.035,8.780,14.256,21
"
        23",21,"
    Sebastián Muñoz
        ",50,1.076,47.346,30.205,17.144,44
"
        24",25,"
    Harold Varner III
        ",46,1.061,30.759,32.300,-1.539,29
"
        25",45,"
    Joel Dahmen
        ",47,1.022,31.685,41.334,-9.646,31
"
        26",32,"
    Scottie Scheffler
        ",48,1.006,36.223,36.783,-.559,36
"
        27",5,"
    Tommy Fleetwood
        ",22,.992,9.923,8.900,1.023,10
"
        28",28,"
    Kevin Na
        ",42,.963,28.876,2.302,26.577,30
"
        29",31,"
    Matt Kuchar
        ",28,.957,20.090,5.296,14.795,21
"
        30",26,"
    Carlos Ortiz
        ",46,.953,37.164,31.591,5.576,39
"
        31",30,"
    Lanto Griffin
        ",58,.946,43.497,21.115,22.384,46
"
        32",19,"
    Abraham Ancer
        ",40,.935,20.573,16.225,4.350,22
"
        33",37,"
    Shane Lowry
        ",16,.911,7.285,7.530,-.245,8
"
        34",41,"
    Cameron Tringale
        ",46,.889,32.008,30.834,1.176,36
"
        35",44,"
    Brandt Snedeker
        ",29,.880,22.882,8.224,14.661,26
"
        36",33,"
    Billy Horschel
        ",41,.872,18.305,9.810,8.497,21
"
        37",20,"
    Jason Day
        ",21,.869,6.952,9.901,-2.949,8
"
        38",56,"
    Rickie Fowler
        ",20,.859,14.605,7.929,6.676,17
