RANK THIS WEEK_x,RANK LAST WEEK_x,PLAYER NAME,ROUNDS_x,%_x,GREENS HIT_x,# HOLES,RELATIVE/PAR,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_y,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,%_x,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,AVERAGE_x,TOTAL SG:APP,MEASURED ROUNDS_x,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,AVERAGE_y,TOTAL SG:ARG,MEASURED ROUNDS_y,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,AVG DTP_x,TOTAL DISTANCE (FEET)_x,# OF SHOTS_x,SCRAMBLING RANK_x,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,AVG DTP_y,TOTAL DISTANCE (FEET)_y,# OF SHOTS_y,SCRAMBLING RANK_y,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,AVG DTP_x,TOTAL DISTANCE (FEET)_x,# OF SHOTS_x,SCRAMBLING RANK_x,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,AVG DTP_y,TOTAL DISTANCE (FEET)_y,# OF SHOTS_y,SCRAMBLING RANK_y,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,AVG.,TOTAL DISTANCE_x,TOTAL DRIVES,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,%_y,FAIRWAYS HIT_x,POSSIBLE FAIRWAYS_x,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_x,FAIRWAYS HIT_y,POSSIBLE FAIRWAYS_y,RELATIVE TO PAR_x,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,ALL DRIVES,TOTAL DISTANCE_y,# OF DRIVES,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_y,TOTAL LEFT ROUGH,POSSIBLE FWYS_x,RELATIVE TO PAR_y,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,%_x,TOTAL RIGHT ROUGH,POSSIBLE FWYS_y,RELATIVE TO PAR_x,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_y,TOTAL FAIRWAY BUNKERS,POSSIBLE FWYS_x,RELATIVE TO PAR_y,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,%_x,TOTAL ROUGH,POSSIBLE FWYS_y,RELATIVE TO PAR,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,AVERAGE_x,TOTAL SG:OTT,MEASURED ROUNDS_x,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,AVG_x,GIR PUTTS,GREENS HIT_y,BIRDIE CONVERSION,GIR RANK,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,AVG_y,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,AVG,# OF PUTTS,# OF HOLES_x,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_y,# OF 1 PUTTS,# OF HOLES_y,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,AVERAGE_y,TOTAL SG:PUTTING,MEASURED ROUNDS_y,RANK THIS WEEK_y,RANK LAST WEEK_y,BEST STREAK,CURRENT STREAK_x,RANK THIS WEEK_x,RANK LAST WEEK_x,STREAK,CURRENT STREAK_y,ROUND,HOLE,YEAR/TOURN#,RANK THIS WEEK_y,RANK LAST WEEK_y,TOTAL,START TOURNAMENT ID,RANK THIS WEEK_x,RANK LAST WEEK_x,VALUE,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_x,TOTAL BIRDIES_x,TOTAL HOLES_x,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,%_y,TOTAL BIRDIES_y,TOTAL HOLES_y,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_x,TOTAL BIRDIES,TOTAL HOLES,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,%_y,# SAVES,# BUNKERS,TOTAL O/U PAR,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%,PAR OR BETTER,MISSED GIR,RANK THIS WEEK_x,RANK LAST WEEK_x,EVENTS_x,RATING_x,RANK THIS WEEK_y,RANK LAST WEEK_y,EVENTS_y,RATING_y,RANK THIS WEEK,RANK LAST WEEK,EVENTS,RATING
1,1,Jim Furyk,19.0,76.32,261.0,342.0,-0.24,T139,T138,19.0,53.33,16.0,30.0,-17.0,-6.00,3,5,19.0,81.25,234.0,288.0,-59.0,12,11,19.0,0.8859999999999999,14.174000000000001,16.0,130,126,19.0,-0.032,-0.515,16.0,T208,T203,19.0,"8' 10""",739.5,84.0,220.0,T85,T79,19.0,"9' 0""",243.0,27.0,220.0,230,227,19.0,"13' 4""",319.75,24.0,220.0,T205,T200,19.0,"4' 1""",28.583000000000002,7.0,220.0,223,219,19.0,281.4,10695.0,38.0,1,1,19.0,80.38,213.0,265.0,1,1,19.0,80.27,179.0,223.0,-0.14,211,207,19.0,276.2,61862.0,224.0,1,1,19.0,4.48,10.0,223.0,-0.10,12,13,19.0,8.97,20.0,223.0,-0.15,T17,T23,19.0,4.0,9.0,37.0,-0.111,1,1,19.0,13.45,30.0,223.0,-1.33,123,125,19.0,-0.043,-0.688,16.0,T168,T163,19.0,1.7890000000000001,467.0,261.0,26.44,,227,223,19.0,30.42,578.0,19.0,27.0,227,223,19.0,1.69,578.0,342.0,231,228,19.0,30.41,104.0,342.0,148,140,19.0,-0.113,-1.808,16.0,T5,T5,30.0,1.0,T97,T97,15.0,2.0,3.0,13.0,2020110.0,,,,,T342,T342,6.0,120,131,19.0,21.63,53.0,245.0,T3,T3,19.0,33.33,3.0,9.0,6,5,19.0,27.78,5.0,18.0,163,156,19.0,45.16,14.0,31.0,+16.00,220,217,19.0,51.85,42.0,81.0,2,2,3.0,8.4,199.0,197.0,3.0,5.6,T254,T251,3.0,3.2
T2,T3,Boo Weekley,14.0,75.0,189.0,252.0,-0.24,5,6,14.0,72.73,8.0,11.0,-8.0,-6.00,1,1,14.0,85.19,138.0,162.0,-24.0,2,1,14.0,1.294,11.644,9.0,170,T163,14.0,-0.161,-1.449,9.0,T42,T42,14.0,"6' 11""",277.58299999999997,40.0,24.0,1,2,14.0,"5' 3""",26.416999999999998,5.0,24.0,T35,T36,14.0,"7' 0""",105.5,15.0,24.0,T109,T117,14.0,"2' 10""",25.166999999999998,9.0,24.0,149,T147,14.0,293.4,8215.0,28.0,7,7,14.0,70.92,139.0,196.0,4,4,14.0,74.6,94.0,126.0,-0.20,175,171,14.0,282.7,35618.0,126.0,26,T33,14.0,10.32,13.0,126.0,+0.08,T15,T17,14.0,9.52,12.0,126.0,+0.50,T17,T23,14.0,4.0,5.0,22.0,E,3,3,14.0,19.84,25.0,126.0,+2.80,10,T11,14.0,0.655,5.899,9.0,T185,T181,14.0,1.804,341.0,189.0,25.93,,T208,T203,14.0,29.93,419.0,14.0,26.0,T208,T203,14.0,1.663,419.0,252.0,226,223,14.0,32.94,83.0,252.0,228,225,14.0,-1.245,-11.205,9.0,T75,T75,14.0,1.0,T97,T97,15.0,0.0,1.0,14.0,2020020.0,,,,,4,6,159.0,117,T125,14.0,21.8,29.0,133.0,T223,T220,14.0,0.0,0.0,15.0,T222,T216,14.0,0.0,0.0,10.0,1,1,14.0,75.0,9.0,12.0,+1.00,24,27,14.0,65.08,41.0,63.0,1,1,1.0,8.7,21.0,19.0,1.0,7.5,T243,T242,1.0,3.7
T2,T3,Patrick Cantlay,20.0,75.0,270.0,360.0,-0.32,118,T115,20.0,55.36,31.0,56.0,-35.0,-3.00,2,3,20.0,81.79,265.0,324.0,-88.0,6,2,20.0,1.093,19.680999999999997,18.0,T50,T50,20.0,0.235,4.227,18.0,T208,T203,20.0,"8' 10""",935.0,106.0,144.0,T176,T172,20.0,"11' 0""",241.583,22.0,144.0,229,226,20.0,"13' 3""",436.75,33.0,144.0,3,3,20.0,"1' 2""",15.0,13.0,144.0,T109,T108,20.0,297.6,11904.0,40.0,30,35,20.0,67.49,191.0,283.0,28,32,20.0,67.32,171.0,254.0,-0.32,19,20,20.0,299.5,76679.0,256.0,60,64,20.0,11.81,30.0,254.0,-0.13,40,40,20.0,11.81,30.0,254.0,+0.13,T14,T18,20.0,3.9,10.0,42.0,+0.200,26,31,20.0,23.62,60.0,254.0,E,43,43,20.0,0.348,6.263999999999999,18.0,T27,T31,20.0,1.73,467.0,270.0,34.07,,T127,116,20.0,29.15,583.0,20.0,24.0,T127,116,20.0,1.619,583.0,360.0,130,118,20.0,38.33,138.0,360.0,97,96,20.0,0.096,1.729,18.0,T75,T75,14.0,1.0,T3,T3,27.0,1.0,4.0,14.0,2020030.0,T4,T5,14.0,2019320.0,T93,T97,41.0,1,2,20.0,29.67,73.0,246.0,T82,T88,20.0,17.39,4.0,23.0,T179,T179,20.0,10.0,3.0,30.0,T113,T99,20.0,50.0,13.0,26.0,E,T144,138,20.0,57.78,52.0,90.0,T30,T31,5.0,7.5,106.0,108.0,5.0,6.5,T40,T40,5.0,8.2
4,5,Corey Conners,40.0,74.03,533.0,720.0,-0.25,184,182,40.0,48.1,38.0,79.0,-39.0,-3.00,4,4,40.0,80.56,406.0,504.0,-99.0,24,T33,40.0,0.556,15.572000000000001,28.0,205,196,40.0,-0.353,-9.894,28.0,T194,T188,40.0,"8' 6""",1340.0,157.0,212.0,T141,T115,40.0,"10' 2""",375.417,37.0,212.0,T120,T116,40.0,"8' 4""",393.25,47.0,212.0,T175,T154,40.0,"3' 7""",50.583,14.0,212.0,T101,86,40.0,298.4,16709.0,56.0,32,34,40.0,67.14,376.0,560.0,17,17,40.0,68.61,271.0,395.0,-0.17,T57,T55,40.0,293.4,116183.0,396.0,T28,29,40.0,10.38,41.0,395.0,+0.15,T100,104,40.0,14.68,58.0,395.0,+0.07,T28,26,40.0,4.6,18.0,74.0,+0.333,43,47,40.0,25.06,99.0,395.0,+1.01,T14,T11,40.0,0.619,17.342,28.0,T201,T195,40.0,1.8119999999999998,966.0,533.0,28.38,,229,224,40.0,30.5,1220.0,40.0,25.0,T228,224,40.0,1.694,1220.0,720.0,227,224,40.0,32.5,234.0,720.0,212,207,40.0,-0.736,-20.622,28.0,T75,T75,14.0,0.0,T44,T44,18.0,4.0,2.0,16.0,2020090.0,,,,,T90,T342,42.0,91,T88,40.0,22.83,87.0,381.0,221,217,40.0,2.94,1.0,34.0,40,33,40.0,20.37,11.0,54.0,T205,T184,40.0,40.0,24.0,60.0,+24.00,212,198,40.0,53.48,100.0,187.0,T64,T69,5.0,7.2,227.0,220.0,3.0,5.3,T89,T92,5.0,7.1
5,2,Harris English,42.0,73.02,552.0,756.0,-0.28,163,T165,42.0,51.22,42.0,82.0,-44.0,-8.00,14,6,42.0,78.27,479.0,612.0,-131.0,41,42,42.0,0.42,14.264000000000001,34.0,69,T107,42.0,0.157,5.3229999999999995,34.0,T97,T125,42.0,"7' 6""",1489.5829999999999,199.0,35.0,T63,T109,42.0,"8' 7""",387.083,45.0,35.0,T53,T46,42.0,"7' 5""",443.083,60.0,35.0,T198,T200,42.0,"4' 0""",60.333,15.0,35.0,51,48,42.0,303.4,25483.0,84.0,82,89,42.0,63.27,372.0,588.0,T65,74,42.0,64.06,303.0,473.0,-0.20,T107,T91,42.0,287.7,136969.0,476.0,95,107,42.0,13.11,62.0,473.0,-0.03,66,T88,42.0,13.32,63.0,473.0,-0.08,T149,T108,42.0,7.4,35.0,152.0,+0.029,65,87,42.0,26.43,125.0,473.0,-0.56,28,17,42.0,0.488,16.597,34.0,T74,T88,42.0,1.754,968.0,552.0,29.53,,124,142,42.0,29.1,1222.0,42.0,24.0,T122,142,42.0,1.6159999999999999,1222.0,756.0,129,T153,42.0,38.36,290.0,756.0,39,55,42.0,0.44299999999999995,15.056,34.0,T215,T214,9.0,1.0,T97,T97,15.0,1.0,3.0,2.0,2020050.0,T33,T46,5.0,2020160.0,3,T10,185.0,46,53,42.0,24.46,113.0,462.0,186,193,42.0,10.71,6.0,56.0,187,T171,42.0,9.62,5.0,52.0,158,T160,42.0,45.61,26.0,57.0,+11.00,35,26,42.0,64.22,131.0,204.0,T126,T127,9.0,6.8,151.0,179.0,8.0,6.1,T104,T95,9.0,6.8
6,9,Gary Woodland,30.0,72.59,392.0,540.0,-0.3,61,59,30.0,59.49,47.0,79.0,-50.0,E,5,9,30.0,80.16,303.0,378.0,-107.0,16,14,30.0,0.72,15.125,21.0,178,176,30.0,-0.193,-4.0569999999999995,21.0,T54,T57,30.0,"7' 1""",876.0,124.0,36.0,T26,T23,30.0,"7' 7""",198.083,26.0,36.0,T143,T144,30.0,"8' 7""",359.25,42.0,36.0,T109,T117,30.0,"2' 10""",42.667,15.0,36.0,12,16,30.0,312.4,13745.0,44.0,51,55,30.0,65.48,275.0,420.0,83,90,30.0,62.96,187.0,297.0,-0.24,9,11,30.0,303.9,90557.0,298.0,155,154,30.0,15.15,45.0,297.0,-0.18,47,51,30.0,12.12,36.0,297.0,+0.14,T54,T65,30.0,5.4,16.0,66.0,+0.250,78,82,30.0,27.27,81.0,297.0,-0.37,29,T27,30.0,0.486,10.215,21.0,T148,T145,30.0,1.781,698.0,392.0,31.71,,T167,T156,30.0,29.47,884.0,30.0,25.0,T167,T156,30.0,1.6369999999999998,884.0,540.0,192,185,30.0,36.3,196.0,540.0,81,82,30.0,0.16899999999999998,3.5589999999999997,21.0,T43,T43,17.0,1.0,T97,T97,15.0,1.0,3.0,14.0,2020060.0,T67,T69,3.0,2020180.0,T327,T327,7.0,35,40,30.0,25.09,67.0,267.0,T6,T7,30.0,30.0,12.0,40.0,T185,T185,30.0,9.68,3.0,31.0,91,84,30.0,52.08,25.0,48.0,+14.00,36,39,30.0,64.19,95.0,148.0,T49,T52,5.0,7.3,160.0,157.0,5.0,6.0,T20,T20,5.0,8.9
7,10,Webb Simpson,20.0,72.5,261.0,360.0,-0.36,T88,85,20.0,57.45,27.0,47.0,-27.0,-2.00,13,17,20.0,78.95,270.0,342.0,-95.0,7,7,20.0,0.968,18.387999999999998,19.0,31,30,20.0,0.32299999999999995,6.138999999999999,19.0,T72,T74,20.0,"7' 3""",779.4169999999999,108.0,5.0,T42,T39,20.0,"8' 3""",207.167,25.0,5.0,T102,T110,20.0,"8' 1""",308.16700000000003,38.0,5.0,231,227,20.0,"8' 0""",87.833,11.0,5.0,T66,T68,20.0,302.1,12083.0,40.0,40,42,20.0,66.07,185.0,280.0,42,53,20.0,65.79,175.0,266.0,-0.34,78,T79,20.0,291.2,77472.0,266.0,98,102,20.0,13.16,35.0,266.0,-0.11,T89,T91,20.0,14.29,38.0,266.0,+0.08,T9,T12,20.0,3.4,9.0,37.0,+0.111,81,85,20.0,27.44,73.0,266.0,-0.14,149,T147,20.0,-0.13,-2.469,19.0,2,2,20.0,1.69,441.0,261.0,37.31,,7,5,20.0,28.05,561.0,20.0,23.0,7,5,20.0,1.558,561.0,360.0,7,6,20.0,43.89,158.0,360.0,13,15,20.0,0.72,13.68,19.0,T183,T181,10.0,5.0,T97,T97,15.0,1.0,3.0,1.0,2020110.0,T2,3,18.0,2019250.0,T327,T327,7.0,4,4,20.0,29.12,76.0,261.0,T103,T112,20.0,16.13,5.0,31.0,T49,T53,20.0,19.23,5.0,26.0,11,9,20.0,62.96,17.0,27.0,-1.00,5,10,20.0,67.68,67.0,99.0,T25,T25,5.0,7.6,7.0,6.0,5.0,8.1,T163,T163,5.0,5.7
8,12,Emiliano Grillo,37.0,72.37,482.0,666.0,-0.25,20,T24,37.0,65.96,31.0,47.0,-33.0,+1.00,T15,30,37.0,78.06,281.0,360.0,-70.0,19,21,37.0,0.6659999999999999,13.315,20.0,144,170,37.0,-0.078,-1.555,20.0,T135,T154,37.0,"7' 10""",893.5,114.0,217.0,T127,T140,37.0,"9' 10""",216.417,22.0,217.0,198,T197,37.0,"9' 10""",355.0,36.0,217.0,T205,T212,37.0,"4' 1""",48.75,12.0,217.0,T123,T121,37.0,296.2,17177.0,58.0,T44,50,37.0,65.76,338.0,514.0,108,113,37.0,61.29,171.0,279.0,-0.16,T113,T110,37.0,287.2,80403.0,280.0,193,190,37.0,17.56,49.0,279.0,+0.18,29,30,37.0,11.11,31.0,279.0,+0.13,T54,T74,37.0,5.4,15.0,65.0,+0.133,105,111,37.0,28.67,80.0,279.0,+1.63,112,93,37.0,0.046,0.9109999999999999,20.0,207,T200,37.0,1.815,875.0,482.0,28.07,,228,225,37.0,30.49,1128.0,37.0,25.0,T228,225,37.0,1.694,1128.0,666.0,230,227,37.0,31.53,210.0,666.0,220,222,37.0,-0.937,-18.739,20.0,T75,T75,14.0,5.0,T28,T28,20.0,7.0,1.0,8.0,2020060.0,,,,,T402,T142,2.0,189,194,37.0,19.17,51.0,266.0,T74,T156,37.0,17.95,7.0,39.0,T29,T27,37.0,21.43,6.0,28.0,185,T188,37.0,42.22,19.0,45.0,+15.00,217,216,37.0,52.17,96.0,184.0,T40,T43,2.0,7.4,241.0,233.0,2.0,5.0,T86,T88,2.0,7.2
T9,,Tyrrell Hatton,16.0,72.22,208.0,288.0,-0.31,185,,16.0,48.0,12.0,25.0,-12.0,-6.00,T32,,16.0,76.39,110.0,144.0,-42.0,1,,16.0,1.416,11.324000000000002,8.0,T12,,16.0,0.544,4.354,8.0,T49,,16.0,"7' 0""",405.167,58.0,76.0,T202,,16.0,"11' 10""",224.583,19.0,76.0,T1,,16.0,"3' 11""",58.75,15.0,76.0,T114,,16.0,"2' 11""",11.75,4.0,76.0,30,,16.0,307.8,4924.0,16.0,48,,16.0,65.63,147.0,224.0,89,,16.0,62.73,69.0,110.0,-0.25,T65,,16.0,292.2,32721.0,112.0,T109,,16.0,13.64,15.0,110.0,-0.27,55,,16.0,12.73,14.0,110.0,+0.29,T185,,16.0,8.2,9.0,39.0,+0.111,62,,16.0,26.36,29.0,110.0,E,12,,16.0,0.6459999999999999,5.167000000000001,8.0,T44,,16.0,1.745,363.0,208.0,31.73,,T103,,16.0,28.94,463.0,16.0,23.0,T103,,16.0,1.608,463.0,288.0,215,,16.0,35.07,101.0,288.0,32,,16.0,0.47200000000000003,3.7769999999999997,8.0,T183,T181,10.0,1.0,T71,T71,17.0,2.0,2.0,16.0,2020060.0,6,7,13.0,2019250.0,T175,T57,27.0,T28,,16.0,25.25,25.0,99.0,23,,16.0,23.08,3.0,13.0,132,,16.0,13.33,2.0,15.0,165,,16.0,45.0,9.0,20.0,+6.00,76,,16.0,61.25,49.0,80.0,T5,T3,2.0,8.1,61.0,115.0,2.0,6.9,T133,T146,2.0,6.3
T9,6,Xander Schauffele,30.0,72.22,390.0,540.0,-0.28,136,T142,30.0,54.05,40.0,74.0,-41.0,E,10,2,30.0,79.37,300.0,378.0,-76.0,14,8,30.0,0.7809999999999999,16.406,21.0,T58,23,30.0,0.19,3.998,21.0,T117,T49,30.0,"7' 8""",1077.667,140.0,18.0,T123,T25,30.0,"9' 8""",338.917,35.0,18.0,T135,T84,30.0,"8' 6""",340.75,40.0,18.0,T175,T181,30.0,"3' 7""",54.0,15.0,18.0,37,34,30.0,306.4,13483.0,44.0,126,116,30.0,60.24,253.0,420.0,147,135,30.0,58.31,172.0,295.0,-0.20,12,10,30.0,302.0,89995.0,298.0,143,140,30.0,14.58,43.0,295.0,+0.05,154,127,30.0,16.61,49.0,295.0,-0.12,T100,T87,30.0,6.4,19.0,81.0,+0.105,155,T129,30.0,31.19,92.0,295.0,-0.43,18,9,30.0,0.59,12.38,21.0,T97,T101,30.0,1.7619999999999998,687.0,390.0,32.05,,T134,T135,30.0,29.2,876.0,30.0,24.0,T134,T134,30.0,1.6219999999999999,876.0,540.0,T61,57,30.0,40.74,220.0,540.0,119,170,30.0,0.013000000000000001,0.276,21.0,T92,T92,13.0,0.0,T71,T71,17.0,0.0,3.0,11.0,2020220.0,T45,T69,4.0,2020180.0,14,T189,98.0,204,188,30.0,18.11,46.0,254.0,T101,T55,30.0,16.22,6.0,37.0,9,8,30.0,25.58,11.0,43.0,104,65,30.0,51.06,24.0,47.0,+7.00,18,4,30.0,66.0,99.0,150.0,T80,T25,5.0,7.1,223.0,190.0,4.0,5.4,T31,T35,5.0,8.5
