Row Labels,Sum of TOTAL ROUNDS,Sum of GREENS HIT_x,Sum of # OF BIRDIE OR BETTER,Sum of TOTAL SG:ARG,Sum of RATING,Sum of PAR OR BETTER,Sum of # BUNKERS,Sum of # SAVES,Sum of TOTAL BIRDIES,Sum of TOTAL PUTTS,Sum of BIRDIE CONVERSION,Sum of TOTAL ROUGH,Sum of TOTAL FAIRWAY BUNKERS,Sum of TOTAL RIGHT ROUGH,Sum of TOTAL LEFT ROUGH,Sum of # OF DRIVES,Sum of TOTAL DISTANCE_y,Sum of ALL DRIVES,Sum of FAIRWAYS HIT_x,Sum of SCRAMBLING RANK_x24
Aaron Baddeley,33,387,29,18.905,3.2,132,60,36,9,937,32.56,91,30,55,36,322,90558,281.2,283,42
Aaron Wise,31,401,25,-2.253,6.8,89,43,22,3,938,28.5,86,21,55,31,280,80699,288.2,259,172
Abraham Ancer,40,483,35,3.753,7,160,62,34,10,1147,31.33,101,19,58,43,308,90134,292.6,351,7
Adam Hadwin,31,389,30,4.964,5,105,49,34,4,896,30.41,66,19,35,31,280,80906,288.9,288,67
Adam Long,54,667,41,-0.487,5.5,182,86,38,7,1561,31.43,137,27,67,70,522,148540,284.6,503,106
Adam Schenk,46,566,32,-1.57,7.7,178,66,30,7,1334,28.72,111,30,52,59,378,110901,293.4,377,4
Adam Scott,26,324,33,10.194,7.4,86,36,22,10,740,33.75,99,8,42,57,252,75742,300.6,196,105
Alex Cejka,23,275,10,6.197,2.7,95,38,19,4,671,23.27,34,7,16,18,168,45764,272.4,220,3
Alex Noren,28,320,23,9.256,6.1,121,52,31,3,792,32.6,53,16,36,17,238,66539,279.6,251,20
Andrew Landry,33,390,30,-6.008,4.7,123,45,14,8,949,31.36,105,14,65,40,364,104289,286.5,304,94
Andrew Putnam,30,365,17,-1.431,3.1,113,50,26,3,864,29.59,66,12,38,28,224,62028,276.9,256,29
Anirban Lahiri,33,401,26,0.535,6.2,110,60,31,13,953,33.08,88,19,46,42,294,84333,286.8,279,166
Arjun Atwal,21,244,5,0.791,,76,35,15,0,625,26.34,45,8,21,24,140,38718,276.6,189,171
Austin Cook,38,463,23,0.707,6.6,126,51,21,2,1123,27.43,93,21,43,50,364,104089,286,341,165
Beau Hossler,51,605,39,-4.739,8.1,183,83,45,13,1457,30.4,148,40,86,62,462,136556,295.6,376,127
Ben Crane,17,217,5,-2.801,1.8,55,21,8,2,499,25.81,40,8,19,21,168,45855,272.9,163,70
Ben Martin,28,332,12,-1.803,4.6,108,50,23,3,802,30.12,48,12,32,16,196,54080,275.9,250,56
Ben Taylor,36,453,17,-3.308,5,113,55,27,5,1070,27.65,94,30,45,49,308,87844,285.2,296,140
Bill Haas,30,368,19,5.476,5.4,99,45,25,7,898,28.53,78,29,50,28,280,79790,285,257,149
Billy Horschel,41,502,22,2.978,6.1,134,67,32,6,1188,30.54,68,18,37,31,294,85454,290.7,374,170
Bo Hoag,47,600,29,-1.756,5,147,67,29,7,1390,27.55,109,30,56,53,406,114866,282.9,412,104
Bo Van Pelt,28,319,16,-2.122,5.3,92,40,10,5,842,26.65,79,12,44,35,224,63202,282.2,211,227
Boo Weekley,14,189,8,-1.449,3.7,41,12,9,0,419,25.93,25,5,12,13,126,35618,282.7,139,24
Branden Grace,23,287,23,2.224,6.6,72,43,21,13,689,28.22,86,13,61,25,210,63183,300.9,182,172
Brandon Hagy,36,436,35,-0.421,9,118,63,35,12,1055,30.57,132,17,62,70,364,108657,298.5,260,186
Brandon Wu,16,193,8,-4.66,5.3,58,21,7,0,465,29.53,27,14,17,10,126,35433,281.2,152,81
Brandt Snedeker,29,351,27,18.359,4.1,107,53,29,10,816,31.62,113,19,60,53,364,104167,286.2,245,62
Brendan Steele,38,480,28,-0.354,6.9,120,51,29,7,1115,31.25,112,37,67,45,420,121978,290.4,337,121
Brendon Todd,48,572,31,2.168,2.7,203,72,49,5,1343,31.7,112,16,58,54,522,143314,274.5,489,2
Brian Gay,45,524,27,-2.717,5.2,169,80,32,9,1269,33.21,133,40,71,62,448,126422,282.2,366,117
Brian Harman,44,519,45,0.788,5.7,176,73,41,8,1243,32.82,138,22,68,70,518,149114,287.9,399,30
Brian Stuard,53,613,32,14.851,2.6,215,86,43,3,1509,30.23,117,28,62,55,504,138652,275.1,536,51
Brice Garnett,40,496,22,3.022,4.4,144,66,34,8,1162,27.62,109,15,56,53,378,107319,283.9,362,33
Bronson Burgoon,33,400,32,3.121,6,118,39,23,11,930,35.5,109,26,78,31,350,100902,288.3,275,86
Brooks Koepka,14,156,16,1.599,8.2,50,36,18,9,415,27.56,56,17,31,25,168,49332,293.6,102,219
Bryson DeChambeau,26,323,50,3.644,8.7,96,47,30,13,743,34.16,112,16,66,46,364,111595,306.6,220,15
Bubba Watson,30,355,35,-3.772,9,112,39,20,4,869,29.46,98,26,38,60,294,91458,311.1,235,89
Bud Cauley,38,449,39,10.292,4.6,156,67,42,5,1084,27.8,149,41,79,70,490,139150,284,310,13
Byeong Hun An,47,570,39,19.265,7.9,183,87,46,9,1345,30.81,147,37,81,66,448,134423,300.1,357,14
C.T. Pan,28,336,15,1.009,2.5,100,58,27,2,842,23.81,61,13,23,38,210,59728,284.4,224,109
Cameron Champ,38,472,64,-8.051,9.8,123,55,23,8,1116,35.03,142,20,62,80,410,126574,308.7,309,138
Cameron Davis,38,466,38,6.106,8.7,137,70,40,9,1114,29.37,111,22,69,42,364,106060,291.4,305,54
Cameron Percy,37,474,19,-7.384,5,119,44,20,9,1092,28.33,102,24,41,61,350,100133,286.1,320,68
Cameron Smith,34,411,38,3.006,6.3,119,53,30,10,972,35.37,114,21,52,62,350,103090,294.5,273,114
